basin_id,basin_name,region,basin_area_km2,cell_count,year,net_water_demand_deficit_mm_yr,groundwater_storage_mm,glacier_storage_mm_we
2304,Damodar,AS,37787.9,15,1962,60.8326166788737,43.13980204264323,0.0
2305,Dasht Kaur,AS,33814.1,13,1962,10.493674115394242,1.06039192580751,0.0
2306,Ganges,AS,1006558.6,364,1962,47.12229583895339,-42.04637289460016,57062.17592940341
2307,Godavari,AS,310375.2,106,1962,20.043068157579256,-39.346323222205754,0.0
2308,Hingol,AS,34557.7,15,1962,1.8728860955685378,2.612781462761072,0.0
2309,Indus,AS,865012.6,336,1962,144.4387447200276,-65.01856973750724,74140.44032455239
2310,Irrawaddy,AS,422916.5,153,1962,30.288174301434577,73.89660729302301,28486.4106191841
2311,Karnaphuli,AS,13958.2,3,1962,16.915078004201252,89.65791829427083,0.0
2312,Krishna,AS,258785.1,88,1962,73.11579479751262,-8.837092533878897,0.0
2313,Mahanadi,AS,135525.4,48,1962,21.051967325930793,48.597562313079834,0.0
2314,Mahi,AS,34075.5,13,1962,7.5485234168859625,17.0735135445228,0.0
2315,Meghna,AS,85577.9,28,1962,135.09730336921555,78.7817256791251,0.0
2316,Narmada,AS,96046.1,32,1962,22.974048692267388,23.886820405721664,0.0
2317,Pakchan,AS,2344.1,2,1962,0.0,149.27779388427734,0.0
2318,Penner,AS,54904.7,18,1962,43.82829973432753,-13.368566708432304,0.0
2319,Salween,AS,266292.8,90,1962,9.992290315881972,33.14595602883233,44700.045737421955
2320,Shatt Al Arab,AS,935570.1,372,1962,43.348733655627534,17.71656812131452,28520.801129328323
2321,Sittang,AS,34265.5,10,1962,0.7389118798077107,100.53987274169921,0.0
2322,Tapi,AS,64337.4,22,1962,19.699031644246794,10.324742403897373,0.0
2323,Tuban,AS,6038.8,2,1962,6.512172132730484,0.9662171006202698,0.0
2401,Amur,AS,2238969.7,1111,1962,1.1696848402822804,22.01947036906411,0.0
2402,Anadyr,AS,172111.6,138,1962,0.21612587696743302,2.355945952887674,0.0
2403,Chao Phraya,AS,157706.5,56,1962,22.19025087285448,29.05782128231866,0.0
2404,Shinano Gawa,AS,10578.7,4,1962,25.997717440128326,82.97190856933594,0.0
2405,Daling He,AS,23443.0,9,1962,1.23629263540109,9.674311876296997,0.0
2406,Dong,AS,33311.1,13,1962,36.038418636872215,80.338257422814,0.0
2407,Dong Nai,AS,29800.5,11,1962,82.10565669970079,102.60345875133167,0.0
2408,Gono,AS,3905.6,1,1962,5.16090202331543,49.8846435546875,0.0
2409,Han-Gang,AS,25633.4,12,1962,20.387712826331455,24.759937286376953,0.0
2410,Hanjiang Xixi,AS,29397.1,9,1962,8.020284758673775,51.271341747707794,0.0
2411,Huai He,AS,172078.6,69,1962,56.19569834246152,40.47536284681679,0.0
2412,Ishikari,AS,14409.6,6,1962,10.181815008322397,84.1590461730957,0.0
2413,Kamchatka,AS,53171.9,35,1962,22.08491771966219,35.44347026007516,90883.34773336102
2414,Kiso,AS,9023.6,3,1962,10.00808016459147,49.20464070638021,0.0
2415,Kitakami,AS,10121.9,4,1962,12.774673342704773,72.13938331604004,0.0
2416,Lam (Also Xongka),AS,27327.5,10,1962,1.1031252473592759,50.02594356536865,0.0
2417,Liao He,AS,220125.2,100,1962,12.93491118218905,7.654689716996365,0.0
2418,Luan He,AS,45724.5,19,1962,1.1925711101955838,3.2753607291314335,0.0
2419,Ma,AS,29596.4,9,1962,2.2196200821134777,45.158660252889,0.0
2420,Mae Klong,AS,28650.5,10,1962,14.206823289394379,60.630021286010745,0.0
2421,Mekong,AS,783795.9,270,1962,9.516612189476964,57.5960880473808,40420.37589359138
2422,Min Jiang,AS,55144.5,20,1962,0.32973064500838517,59.13077964782715,0.0
2423,Mogami,AS,6879.5,2,1962,3.790757179260254,83.00154876708984,0.0
2424,Nakdong,AS,23296.2,10,1962,13.805530107021331,22.303867530822753,0.0
